0,-1380,-1,-1505,364
0,-1350,0,-1354,349
0,-1320,0,-1313,344
0,-1290,0,-1285,337
0,-1260,0,-1252,327
0,-1230,0,-1226,322
0,-1200,0,-1189,312
0,-1170,0,-1167,306
0,-1140,0,-1131,296
0,-1110,0,-1103,295
0,-1080,0,-1075,285
0,-1050,0,-1045,241
0,-1020,0,-1012,225
0,-990,0,-984,204
62,-1380,67,-1437,353
62,-1350,68,-1354,343
62,-1320,67,-1313,337
62,-1290,67,-1285,327
62,-1260,67,-1253,321
62,-1230,67,-1224,311
62,-1200,66,-1194,306
62,-1170,62,-1165,296
62,-1140,62,-1131,285
62,-1110,62,-1103,280
62,-1080,62,-1075,289
62,-1050,62,-1045,242
62,-1020,62,-1012,242
62,-990,62,-984,236
124,-1380,125,-1383,348
124,-1350,125,-1343,343
124,-1320,125,-1313,343
124,-1290,125,-1285,332
124,-1260,125,-1254,322
124,-1230,125,-1222,311
124,-1200,125,-1196,306
124,-1170,125,-1159,295
124,-1140,125,-1133,285
124,-1110,125,-1103,275
124,-1080,125,-1075,280
124,-1050,125,-1045,259
124,-1020,125,-1011,252
124,-990,125,-985,241
186,-1380,191,-1383,348
186,-1350,191,-1342,337
186,-1320,190,-1315,343
186,-1290,190,-1285,332
186,-1260,190,-1252,321
186,-1230,190,-1224,311
186,-1200,190,-1193,301
186,-1170,190,-1161,290
186,-1140,188,-1133,280
186,-1110,188,-1103,269
186,-1080,187,-1075,275
186,-1050,187,-1042,247
186,-1020,183,-1013,247
186,-990,183,-984,241
248,-1380,252,-1383,344
248,-1350,251,-1343,343
248,-1320,251,-1314,337
248,-1290,251,-1285,332
248,-1260,251,-1254,327
248,-1230,251,-1224,316
248,-1200,251,-1194,306
248,-1170,251,-1161,295
248,-1140,251,-1131,285
248,-1110,251,-1103,270
248,-1080,251,-1075,264
248,-1050,251,-1045,247
248,-1020,251,-1013,242
248,-990,249,-981,231
310,-1380,312,-1383,343
310,-1350,312,-1342,337
310,-1320,312,-1315,337
310,-1290,312,-1282,327
310,-1260,312,-1254,321
310,-1230,312,-1222,316
310,-1200,312,-1195,306
310,-1170,312,-1159,295
310,-1140,312,-1133,285
310,-1110,312,-1103,280
310,-1080,312,-1075,259
310,-1050,312,-1045,247
310,-1020,312,-1013,236
310,-990,312,-981,226
372,-1380,378,-1383,343
372,-1350,377,-1341,337
372,-1320,377,-1315,337
372,-1290,377,-1285,327
372,-1260,377,-1252,316
372,-1230,377,-1224,306
372,-1200,377,-1193,311
372,-1170,377,-1161,290
372,-1140,374,-1133,285
372,-1110,374,-1103,280
372,-1080,374,-1075,252
372,-1050,370,-1045,247
372,-1020,370,-1013,231
372,-990,370,-981,221
434,-1380,433,-1383,348
434,-1350,434,-1343,337
434,-1320,434,-1313,337
434,-1290,438,-1285,327
434,-1260,438,-1252,306
434,-1230,438,-1226,306
434,-1200,438,-1189,295
434,-1170,438,-1168,290
434,-1140,438,-1131,285
434,-1110,438,-1103,269
434,-1080,438,-1075,252
434,-1050,438,-1042,236
434,-1020,438,-1017,221
434,-990,438,-981,204
